#filename obstime_in_seconds
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_15_45_13.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_14_01_25.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_16_25_17.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_16_15_16.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_14_20_04.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_14_40_13.fil 395.518848
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_15_14_54.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_15_35_12.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_15_25_11.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_15_55_14.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_13_08_50.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_13_44_52.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_14_30_12.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_16_35_18.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_13_55_00.fil 376.19232
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_14_11_33.fil 495.015936
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_16_45_19.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_16_05_15.fil 600.0
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_13_18_58.fil 83.519424
./2024-07-22/PV_Band/CRAB_PV_Band_2024_07_22_16_55_20.fil 71.29632000000001
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_16_45_19.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_14_40_13.fil 395.518848
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_16_55_20.fil 71.29632000000001
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_14_30_12.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_16_15_16.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_16_35_18.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_15_35_12.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_14_11_33.fil 495.015936
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_14_01_25.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_14_20_04.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_16_25_17.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_15_45_13.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_16_05_15.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_13_08_50.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_13_44_52.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_15_55_14.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_13_18_58.fil 83.519424
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_15_14_54.fil 600.0
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_13_55_00.fil 376.19232
./2024-07-22/PH_Band/CRAB_PH_Band_2024_07_22_15_25_11.fil 600.0
./2024-07-22/L2_Band/CRAB_L2_Band_2024_07_22_16_14_02.fil 139.0966528
./2024-07-22/L2_Band/CRAB_L2_Band_2024_07_22_16_17_06.fil 101.8776064
./2024-07-22/L2_Band/CRAB_L2_Band_2024_07_22_14_34_12.fil 137.4235456
