filename ch1 nchan
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_08_58_48.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_10_06_23.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_09_48_58.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_08_48_47.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_06_33_31.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_09_48_31.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_10_50_13.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_08_38_46.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_06_42_10.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_06_58_59.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_09_53_13.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_06_22_10.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_10_54_22.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_11_22_20.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_06_43_32.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_09_19_48.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_11_12_19.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_07_08_28.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_09_17_33.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_08_37_49.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_09_29_49.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_11_00_14.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_09_09_47.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_09_08_49.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_06_18_39.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_09_38_57.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_10_40_12.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_06_43_32.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_08_48_47.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_11_39_47.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_08_18_44.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_11_06_12.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_10_44_21.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_06_58_27.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_08_18_48.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_07_18_29.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_08_08_43.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_08_18_44.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_09_39_50.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_09_27_34.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_08_28_45.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_11_07_44.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_08_58_48.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_09_18_55.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_10_17_39.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_08_24_42.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_10_03_14.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_09_08_49.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_09_47_36.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_10_50_13.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_11_16_13.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_10_37_41.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_10_13_15.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_08_08_47.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_10_07_38.fil 1440.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_11_10_15.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PV_Band_2024_05_09_09_33_10.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L1_Band_2024_05_09_10_34_20.fil 1375.0 320
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_PH_Band_2024_05_09_06_52_15.fil 420.0 160
/media/camrasdemo/3f3a1b8a-f7dc-4dad-97f4-7b3f0ffa6cbf/2024-05-09/FRB20240114A_L2_Band_2024_05_09_08_28_49.fil 1440.0 320
